Note: Window features are placed at the end of the addresses for that window [Final column for the day].

Address,Year,Day,Amount Sent,Income,Neighbours,CoAddresses,Is Randsome
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
NoName,2009,335,1000020000000,1.004978E12,1,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
0 in 2009,2009,335,0,0.0,2,0,true
~~~~ Features of the above window ~~~~
,2009,335,,,,,,Total transactions in window: 170,Ransome addresses in window: 170,White addresses in window: 0
